# BLASTP 2.2.25+
# Query: Spipo0001S00230.1
# Database: /nfs4shares/tmockler_share/Genomes/Arabidopsis_thaliana/BLASTDBs/Athaliana.TAIR10.AA.fa
# 0 hits found
# BLASTP 2.2.25+
# Query: Spipo0007S24960.1
# Database: /nfs4shares/tmockler_share/Genomes/Arabidopsis_thaliana/BLASTDBs/Athaliana.TAIR10.AA.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 29 hits found
Spipo0007S24960.1	AT1G01010.2	58.70	322	122	5	35	350	31	347	8e-109	 390
Spipo0007S24960.1	AT1G01010.1	58.70	322	122	5	35	350	31	347	8e-109	 390
Spipo0007S24960.1	AT5G22070.1	56.98	358	120	10	21	350	12	363	2e-107	 385
Spipo0007S24960.1	AT5G25330.1	48.31	325	144	9	40	349	47	362	6e-78	 287
Spipo0007S24960.1	AT4G32290.1	49.69	326	132	8	43	349	67	379	1e-70	 263
Spipo0007S24960.1	AT3G21310.1	35.41	353	182	11	22	346	47	381	1e-46	 184
Spipo0007S24960.1	AT5G25970.1	36.73	275	153	8	76	341	118	380	3e-44	 175
Spipo0007S24960.1	AT1G68390.1	36.45	321	169	11	42	346	105	406	4e-43	 172
Spipo0007S24960.1	AT5G11730.1	34.67	323	188	8	33	346	76	384	1e-42	 171
Spipo0007S24960.1	AT1G51770.1	36.19	315	176	11	42	346	91	390	1e-42	 170
Spipo0007S24960.1	AT1G01115.1	36.33	311	158	9	62	341	88	389	2e-42	 169
