# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02J63U6
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
FL8T4MU02J63U6	scaffold00035	95.52	134	4	2	38	169	491978	492111	3.0e-59	226.0
FL8T4MU02J63U6	scaffold00035	100.00	37	0	0	1	37	491092	491128	4.4e-13	73.0
# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02IWPNE
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
FL8T4MU02IWPNE	scaffold00010	99.53	214	0	1	1	214	458955	459167	2.2e-115	412.0
# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02IKQFA
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
FL8T4MU02IKQFA	scaffold00009	100.00	90	0	0	5	94	2571984	2571895	3.1e-44	176.0
# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02JK7QR
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
FL8T4MU02JK7QR	scaffold00405	99.54	434	0	2	6	438	7049	7481	8.2e-243	836.0
FL8T4MU02JK7QR	scaffold00405	95.45	22	0	1	439	460	7648	7668	4.7e-01	33.0
# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02JHVMN
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
FL8T4MU02JHVMN	scaffold00012	99.39	163	0	1	6	167	580802	580964	5.9e-85	311.0
FL8T4MU02JHVMN	scaffold00012	99.21	126	0	1	168	292	581140	581265	5.9e-63	238.0
# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02JHCQD
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
FL8T4MU02JHCQD	scaffold00014	99.48	382	0	1	2	381	1718794	1718413	2.3e-214	741.0
FL8T4MU02JHCQD	scaffold00014	88.79	116	12	1	2	117	1718992	1718878	2.1e-42	170.0
FL8T4MU02JHCQD	scaffold00014	100.00	84	0	0	430	513	1718183	1718100	2.0e-41	167.0
FL8T4MU02JHCQD	scaffold00014	100.00	48	0	0	382	429	1718322	1718275	9.3e-20	95.0
FL8T4MU02JHCQD	scaffold00014	100.00	7	0	0	125	131	1718871	1718865	2.1e+05	14.0
# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02JODJN
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
FL8T4MU02JODJN	scaffold00014	99.70	333	0	1	1	333	1718744	1718413	2.3e-186	648.0
FL8T4MU02JODJN	scaffold00014	100.00	109	0	0	382	490	1718183	1718075	2.4e-56	216.0
FL8T4MU02JODJN	scaffold00014	100.00	48	0	0	334	381	1718322	1718275	9.3e-20	95.0
FL8T4MU02JODJN	scaffold00014	96.30	54	1	1	14	67	1718930	1718878	2.3e-18	90.0
FL8T4MU02JODJN	scaffold00014	100.00	7	0	0	75	81	1718871	1718865	2.1e+05	14.0
# BLAT 34x12 [2009/02/26]
# Query: FL8T4MU02JFUXV
# Database: ../Spolyrrhiza.0_7.fa
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
